customer_age,customer_tenure_years,vehicle_age,claim_amount,number_of_previous_claims,days_since_last_claim,incident_hour,incident_day_of_week,fraud_label,claim_amount_to_vehicle_age,claim_frequency_score,night_flag,high_risk_vehicle,vehicle_type_sedan,vehicle_type_suv,vehicle_type_truck,claim_type_fire,claim_type_other,claim_type_theft,claim_type_vandalism,tenure_bucket_mid,tenure_bucket_veteran
23,5,6,480.0,1,3040,6,4,0,68.57142857142857,0.16666666666666666,0,0,False,True,False,False,True,False,False,True,False
69,1,4,1589.0,3,2073,10,5,0,317.8,1.5,0,0,False,True,False,True,False,False,False,False,False
61,18,10,1108.0,0,642,18,2,0,100.72727272727273,0.0,0,0,True,False,False,True,False,False,False,False,True
47,20,13,3354.0,5,2984,22,4,0,239.57142857142858,0.23809523809523808,1,0,True,False,False,False,True,False,False,False,True
47,23,5,1356.0,4,3610,17,2,0,226.0,0.16666666666666666,0,0,False,True,False,False,False,False,False,False,True
75,28,15,1845.0,0,250,12,4,0,115.3125,0.0,0,0,False,True,False,False,True,False,False,False,True
23,14,12,1897.0,3,3086,12,5,0,145.92307692307693,0.2,0,1,False,False,False,True,False,False,False,False,True
64,24,3,2841.0,1,2688,23,2,0,710.25,0.04,1,1,False,False,True,False,False,False,True,False,True
31,21,18,1757.0,2,1293,23,2,0,92.47368421052632,0.09090909090909091,1,0,False,True,False,False,False,False,False,False,True
24,8,0,1031.0,3,2316,18,1,0,1031.0,0.3333333333333333,0,0,False,True,False,False,False,False,True,False,True
53,25,13,3248.0,5,2866,3,3,1,232.0,0.19230769230769232,1,0,False,True,False,False,False,True,False,False,True
83,1,8,8669.0,1,1749,6,3,0,963.2222222222222,0.5,0,0,False,True,False,True,False,False,False,False,False
67,17,13,3390.0,0,2432,6,1,0,242.14285714285714,0.0,0,0,True,False,False,True,False,False,False,False,True
68,28,15,1620.0,2,176,5,6,0,101.25,0.06896551724137931,1,0,False,True,False,False,True,False,False,False,True
66,19,13,2636.0,5,3377,23,6,0,188.28571428571428,0.25,1,0,False,True,False,False,False,False,True,False,True
70,28,13,384.0,4,3371,3,2,1,27.428571428571427,0.13793103448275862,1,0,False,True,False,True,False,False,False,False,True
52,1,16,2593.0,0,767,20,6,0,152.52941176470588,0.0,0,1,False,False,True,True,False,False,False,False,False
26,15,14,1997.0,0,1742,19,1,0,133.13333333333333,0.0,0,0,False,True,False,False,False,True,False,False,True
74,23,16,1172.0,4,871,12,2,0,68.94117647058823,0.16666666666666666,0,0,True,False,False,False,False,False,True,False,True
48,19,8,1405.0,4,1458,7,0,0,156.11111111111111,0.2,0,0,True,False,False,False,True,False,False,False,True
51,26,4,1978.0,3,1004,6,4,1,395.6,0.1111111111111111,0,0,True,False,False,True,False,False,False,False,True
42,13,4,8042.0,0,3144,16,3,0,1608.4,0.0,0,0,True,False,False,False,False,False,True,False,True
30,20,12,8884.0,1,2535,16,1,0,683.3846153846154,0.047619047619047616,0,0,True,False,False,False,False,True,False,False,True
80,12,10,1178.0,5,3086,12,2,0,107.0909090909091,0.38461538461538464,0,0,True,False,False,True,False,False,False,False,True
70,26,1,1776.0,0,2894,13,6,1,888.0,0.0,0,0,True,False,False,True,False,False,False,False,True
61,3,4,1821.0,1,2654,19,4,1,364.2,0.25,0,0,True,False,False,False,False,False,True,True,False
44,7,19,6698.0,2,608,18,1,0,334.9,0.25,0,1,False,False,True,False,False,True,False,False,True
73,2,14,3448.0,4,3027,18,0,0,229.86666666666667,1.3333333333333333,0,1,False,False,True,False,False,True,False,True,False
54,21,15,3271.0,4,2858,6,0,0,204.4375,0.18181818181818182,0,0,True,False,False,False,False,True,False,False,True
47,6,3,5096.0,3,453,1,1,0,1274.0,0.42857142857142855,1,0,True,False,False,True,False,False,False,False,True
48,9,1,1642.0,2,320,11,5,0,821.0,0.2,0,0,True,False,False,False,False,True,False,False,True
33,25,5,11660.0,2,2777,8,0,0,1943.3333333333333,0.07692307692307693,0,0,True,False,False,False,False,False,False,False,True
24,10,17,2976.0,0,1424,8,1,0,165.33333333333334,0.0,0,0,True,False,False,True,False,False,False,False,True
55,4,10,1267.0,1,1197,12,0,0,115.18181818181819,0.2,0,0,True,False,False,False,True,False,False,True,False
77,0,15,2369.0,1,1447,22,4,0,148.0625,1.0,1,0,True,False,False,False,False,False,False,False,False
22,6,9,10218.0,0,3166,19,5,0,1021.8,0.0,0,1,False,False,False,False,False,False,True,False,True
75,27,9,1949.0,4,1327,16,3,0,194.9,0.14285714285714285,0,0,False,True,False,False,True,False,False,False,True
73,16,12,7704.0,2,1351,17,6,0,592.6153846153846,0.11764705882352941,0,1,False,False,True,False,True,False,False,False,True
36,29,19,1595.0,3,1457,9,4,0,79.75,0.1,0,0,True,False,False,False,True,False,False,False,True
60,6,8,1386.0,1,198,13,5,0,154.0,0.14285714285714285,0,0,True,False,False,False,False,True,False,False,True
29,10,11,5765.0,3,136,10,2,0,480.4166666666667,0.2727272727272727,0,1,False,False,False,False,False,False,False,False,True
68,4,18,1244.0,0,1512,19,6,0,65.47368421052632,0.0,0,0,True,False,False,False,True,False,False,True,False
64,11,7,6785.0,4,61,23,4,0,848.125,0.3333333333333333,1,0,False,True,False,False,False,False,True,False,True
41,16,16,4237.0,4,2762,10,0,0,249.23529411764707,0.23529411764705882,0,1,False,False,False,False,False,True,False,False,True
22,24,10,1244.0,1,1549,17,0,1,113.0909090909091,0.04,0,0,False,True,False,False,True,False,False,False,True
83,11,17,2775.0,1,1828,1,6,0,154.16666666666666,0.08333333333333333,1,0,True,False,False,False,False,True,False,False,True
47,23,9,1722.0,4,1226,9,1,0,172.2,0.16666666666666666,0,0,False,True,False,False,False,False,True,False,True
77,18,12,4226.0,1,2787,20,3,0,325.0769230769231,0.05263157894736842,0,0,True,False,False,False,True,False,False,False,True
63,8,6,19689.0,1,1560,16,5,0,2812.714285714286,0.1111111111111111,0,0,True,False,False,False,False,False,True,False,True
70,27,12,2058.0,2,128,12,5,0,158.30769230769232,0.07142857142857142,0,0,True,False,False,False,False,False,True,False,True
68,13,6,5084.0,5,1782,5,0,0,726.2857142857143,0.35714285714285715,1,1,False,False,True,False,False,False,False,False,True
31,4,12,3055.0,2,646,19,4,0,235.0,0.4,0,0,False,True,False,False,True,False,False,True,False
42,28,15,3054.0,1,2171,23,6,0,190.875,0.034482758620689655,1,0,True,False,False,True,False,False,False,False,True
49,27,8,2527.0,3,2057,9,2,0,280.77777777777777,0.10714285714285714,0,0,True,False,False,False,False,False,True,False,True
51,1,8,1265.0,2,1732,19,3,0,140.55555555555554,1.0,0,0,False,True,False,False,False,False,True,False,False
20,27,6,4168.0,3,1406,14,1,0,595.4285714285714,0.10714285714285714,0,1,False,False,False,False,False,True,False,False,True
54,28,14,2233.0,2,2175,9,5,0,148.86666666666667,0.06896551724137931,0,0,True,False,False,False,False,False,True,False,True
28,24,11,1206.0,3,2482,7,0,0,100.5,0.12,0,0,True,False,False,False,False,True,False,False,True
67,7,10,8219.0,2,3206,12,3,0,747.1818181818181,0.25,0,1,False,False,True,False,False,True,False,False,True
63,18,0,3291.0,2,3513,9,2,0,3291.0,0.10526315789473684,0,1,False,False,True,False,True,False,False,False,True
79,16,2,2373.0,2,303,14,4,0,791.0,0.11764705882352941,0,1,False,False,False,False,False,False,True,False,True
67,18,0,11385.0,2,2408,3,3,0,11385.0,0.10526315789473684,1,0,True,False,False,True,False,False,False,False,True
